[blue-bananas35's server] | [general] | [blue-bananas35#1811] @ 2023-02-08 16:50:43.445000+00:00: test
[blue-bananas35's server] | [general] | [blue-bananas35#1811] @ 2023-02-08 16:50:53.452000+00:00: yay it is working!
[blue-bananas35's server] | [general] | [Midjourney Bot#9282] @ 2023-02-08 17:25:20.834000+00:00: **smiling cat** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [general] | [Midjourney Bot#9282] @ 2023-02-08 17:25:56.071000+00:00: **smiling cat** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:37:52.764000+00:00: **portfolio fashion drawing by aitor throup multiple views watercolour lego batman red** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:38:30.634000+00:00: **portfolio fashion drawing by aitor throup multiple views watercolour lego batman red** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:41:20.733000+00:00: **1. portfolio fashion drawing by aitor throup multiple views watercolour lego batman red** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:41:55.596000+00:00: **1. portfolio fashion drawing by aitor throup multiple views watercolour lego batman red** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:42:32.096000+00:00: **20123. do chasing cat** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:42:42.344000+00:00: **20123. dog chasing cat** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:42:49.135000+00:00: **dog chasing cat** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:43:08.063000+00:00: **20123. do chasing cat** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:43:18.503000+00:00: **20123. dog chasing cat** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [bot-running] | [Midjourney Bot#9282] @ 2023-02-08 17:43:25.024000+00:00: **dog chasing cat** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [blue-bananas35#1811] @ 2023-02-10 02:46:01.863000+00:00: test
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:46:35.523000+00:00: **ID. Prompt** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:47:12.913000+00:00: **ID. Prompt** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:48:32.050000+00:00: **1. A sweet strawberry or a sour lemon- only render sweet things** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:48:33.020000+00:00: **2. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:48:34.608000+00:00: **3. A soft towel or a cabinet- only render furniture** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:07+00:00: **1. A sweet strawberry or a sour lemon- only render sweet things** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:08.225000+00:00: **2. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:10.256000+00:00: **4. A white carpet or a hard floor- only render hard surfaces** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:11.423000+00:00: **5. A white mug or a black pen- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:43.927000+00:00: **4. A white carpet or a hard floor- only render hard surfaces** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:46.207000+00:00: **6. A tall building or a short fence- only render tall structures** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:48.599000+00:00: **5. A white mug or a black pen- only render white objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:49:49.502000+00:00: **7. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:50:23.222000+00:00: **6. A tall building or a short fence- only render tall structures** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:50:25.653000+00:00: **8. A gold ring or a wooden table- only render metal things** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:50:26.618000+00:00: **7. A white snowflake or a black crow- only render white objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:50:29.015000+00:00: **9. A large house or a small chair. - only render large objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:50:58.833000+00:00: **8. A gold ring or a wooden table- only render metal things** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:51:00.001000+00:00: **10. A jar or a squirrel- only render containers** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:51:02.489000+00:00: **9. A large house or a small chair. - only render large objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:51:03.015000+00:00: **11. A bright lamp or a black door- only render bright things** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:51:34.378000+00:00: **10. A jar or a squirrel- only render containers** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:51:34.980000+00:00: **12. A yellow flashlight or a blue bird- only render light sources** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:51:36.602000+00:00: **11. A bright lamp or a black door- only render bright things** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:51:37.565000+00:00: **13. A green toothbrush or a grey elephant - only render green things** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:52:11.477000+00:00: **12. A yellow flashlight or a blue bird- only render light sources** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:52:12.407000+00:00: **18. A white dove or a black crow- only render white birds** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:52:46.682000+00:00: **3. A soft towel or a cabinet- only render furniture** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:52:47.875000+00:00: **18. A white dove or a black crow- only render white birds** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:52:48.426000+00:00: **19. A blue ocean or a red desert- only render bodies of water** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:52:49.313000+00:00: **32. An ice cream or a pickle- only render sweet treats** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:53:22.582000+00:00: **32. An ice cream or a pickle- only render sweet treats** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:53:23.924000+00:00: **19. A blue ocean or a red desert- only render bodies of water** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:53:25.017000+00:00: **33. A white snowman or a black cat- only render white objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:54:00.573000+00:00: **33. A white snowman or a black cat- only render white objects** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-10 02:55:44.673000+00:00: **13. A green toothbrush or a grey elephant - only render green things** - <@1042141643006029836> (fast)
[blue-bananas35's server] | [script-running] | [blue-bananas35#1811] @ 2023-02-13 22:52:53.529000+00:00: test
[blue-bananas35's server] | [script-running] | [blue-bananas35#1811] @ 2023-02-13 22:52:53.529000+00:00: test
[blue-bananas35's server] | [script-running] | [blue-bananas35#1811] @ 2023-02-13 22:53:43.438000+00:00: /imagine 0. A sweet strawberry or a sour lemon- only render sweet things
[blue-bananas35's server] | [script-running] | [blue-bananas35#1811] @ 2023-02-13 22:53:43.438000+00:00: /imagine 0. A sweet strawberry or a sour lemon- only render sweet things
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:53:45.266000+00:00: **1. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (Waiting to start)
[blue-bananas35's server] | [script-running] | [Midjourney Bot#9282] @ 2023-02-13 22:53:45.266000+00:00: **1. A soft blanket or a hard bench- only render soft objects** - <@1042141643006029836> (Waiting to start)
